,ds,yhat_upper
9043,2019-07-10,-0.0005570384249763524
9044,2019-07-11,-0.006950685312838648
9045,2019-07-12,-0.0010450076948919185
9046,2019-07-13,-0.05215607303717728
9047,2019-07-14,-0.028297027549125494
9048,2019-07-15,-0.0007082075723907398
9049,2019-07-16,-0.005928702296671921
9050,2019-07-17,-0.011064389973161295
9051,2019-07-18,-0.004576306343526695
9052,2019-07-19,-0.005881762382119269
9053,2019-07-20,-0.0347010978621362
9054,2019-07-21,-0.043892272016613595
9055,2019-07-22,-0.001912820798656127
9056,2019-07-23,-0.004058311318391691
9057,2019-07-24,-0.010205406064914085
9058,2019-07-25,-0.003538471226462405
9059,2019-07-26,-0.015981433312731094
9060,2019-07-27,-0.03865841371844174
9061,2019-07-28,-0.051945043649279994
9062,2019-07-29,-0.02239592797975654
